SKU,Initial Status,Action Taken,Final Status,Timestamp
260-150-006,Update Required,Bulk Update,Published,2026-02-23 10:14:22
260-150-008,Update Required,Bulk Update,Published,2026-02-23 10:14:27
420-110-012,Update Required,Bulk Update,Published,2026-02-23 10:14:33
200-120-005,Update Required,Bulk Update,Published,2026-02-23 10:14:35
480-150-057,Update Required,Bulk Update,Published,2026-02-23 10:14:41
480-150-049,Update Required,Bulk Update,Published,2026-02-23 10:14:48
180-110-001,Update Required,Bulk Update,Published,2026-02-23 10:14:57
200-170-003,New/Pending,Bulk Add,Error uploading,2026-02-24 15:46:36
200-150-006,Update Required,Bulk Update,Published,2026-02-24 15:46:44
200-170-004,Update Required,Bulk Update,Published,2026-02-24 15:46:58
200-170-005,New/Pending,Bulk Add,Error uploading,2026-02-24 15:47:04
200-170-006,New/Pending,Bulk Add,Error uploading,2026-02-24 15:47:04
200-170-008,New/Pending,Bulk Add,Error uploading,2026-02-24 15:47:04
200-170-007,New/Pending,Bulk Add,Error uploading,2026-02-24 15:47:04
200-170-009,Update Required,Bulk Update,Published,2026-02-24 15:47:12
200-170-010,Update Required,Bulk Update,Published,2026-02-24 15:47:24
200-170-012,New/Pending,Bulk Add,Published,2026-02-24 15:47:29
200-170-013,New/Pending,Bulk Add,Published,2026-02-24 15:47:29
200-170-017,Update Required,Bulk Update,Published,2026-02-24 15:47:39
200-170-018,New/Pending,Bulk Add,Published,2026-02-24 15:47:44
200-170-003,New/Pending,Bulk Add,Error uploading,2026-02-24 15:47:59
200-150-006,Update Required,Bulk Update,Published,2026-02-24 15:48:00
200-170-004,Update Required,Bulk Update,Published,2026-02-24 15:48:09
200-170-005,New/Pending,Bulk Add,Error uploading,2026-02-24 15:48:18
200-170-006,New/Pending,Bulk Add,Error uploading,2026-02-24 15:48:18
200-170-008,New/Pending,Bulk Add,Error uploading,2026-02-24 15:48:18
200-170-007,New/Pending,Bulk Add,Error uploading,2026-02-24 15:48:18
200-170-009,Update Required,Bulk Update,Published,2026-02-24 15:48:20
200-170-010,Update Required,Bulk Update,Published,2026-02-24 15:48:30
200-170-012,Update Required,Bulk Update,Published,2026-02-24 15:48:36
200-170-003,New/Pending,Bulk Add,Error uploading,2026-02-24 15:49:14
200-150-006,Update Required,Bulk Update,Published,2026-02-24 15:49:15
200-170-003,New/Pending,Bulk Add,Error uploading,2026-02-24 15:50:08
200-150-006,Update Required,Bulk Update,Published,2026-02-24 15:50:09
200-170-003,New/Pending,Bulk Add,Error uploading,2026-02-24 15:51:13
200-150-006,Update Required,Bulk Update,Published,2026-02-24 15:51:14
200-170-003,New/Pending,Bulk Add,Error uploading,2026-02-24 15:52:00
200-150-006,Update Required,Bulk Update,Published,2026-02-24 15:52:01
200-170-004,Update Required,Bulk Update,Published,2026-02-24 15:52:12
200-170-005,New/Pending,Bulk Add,Error uploading,2026-02-24 15:52:23
200-170-006,New/Pending,Bulk Add,Error uploading,2026-02-24 15:52:23
200-170-008,New/Pending,Bulk Add,Error uploading,2026-02-24 15:52:23
200-170-007,New/Pending,Bulk Add,Error uploading,2026-02-24 15:52:23
200-170-009,Update Required,Bulk Update,Published,2026-02-24 15:52:24
200-170-010,Update Required,Bulk Update,Published,2026-02-24 15:52:36
200-170-012,Update Required,Bulk Update,Published,2026-02-24 15:52:44
200-170-013,Update Required,Bulk Update,Published,2026-02-24 15:52:52
200-170-017,Update Required,Bulk Update,Published,2026-02-24 15:53:05
200-170-003,New/Pending,Bulk Add,Error uploading,2026-02-24 15:53:07
200-150-006,Update Required,Bulk Update,Published,2026-02-24 15:53:08
200-170-018,Update Required,Bulk Update,Published,2026-02-24 15:53:14
200-170-004,Update Required,Bulk Update,Published,2026-02-24 15:53:24
200-170-005,New/Pending,Bulk Add,Error uploading,2026-02-24 15:53:39
200-170-006,New/Pending,Bulk Add,Error uploading,2026-02-24 15:53:39
200-170-008,New/Pending,Bulk Add,Error uploading,2026-02-24 15:53:39
200-170-007,New/Pending,Bulk Add,Error uploading,2026-02-24 15:53:39
200-170-009,Update Required,Bulk Update,Published,2026-02-24 15:53:41
200-170-010,Update Required,Bulk Update,Published,2026-02-24 15:53:57
200-170-012,Update Required,Bulk Update,Published,2026-02-24 15:54:11
200-170-013,Update Required,Bulk Update,Published,2026-02-24 15:54:23
200-170-017,Update Required,Bulk Update,Published,2026-02-24 15:54:40
200-170-018,Update Required,Bulk Update,Published,2026-02-24 15:54:55
200-140-001,Update Required,Bulk Update,Published,2026-02-24 16:12:59
200-150-006,Update Required,Bulk Update,Published,2026-02-24 16:13:14
200-170-004,Update Required,Bulk Update,Published,2026-02-24 16:13:31
200-170-005,New/Pending,Bulk Add,Error uploading,2026-02-24 16:13:46
200-170-006,New/Pending,Bulk Add,Error uploading,2026-02-24 16:13:46
200-170-008,New/Pending,Bulk Add,Error uploading,2026-02-24 16:13:46
200-170-007,New/Pending,Bulk Add,Error uploading,2026-02-24 16:13:46
200-170-009,Update Required,Bulk Update,Published,2026-02-24 16:13:47
200-140-013,Update Required,Bulk Update,Published,2026-02-24 16:14:03
200-140-002,Update Required,Bulk Update,Published,2026-02-24 16:14:16
200-170-010,Update Required,Bulk Update,Published,2026-02-24 16:14:33
200-170-012,Update Required,Bulk Update,Published,2026-02-24 16:14:46
200-170-013,Update Required,Bulk Update,Published,2026-02-24 16:14:58
200-140-011,Update Required,Bulk Update,Published,2026-02-24 16:15:12
200-140-003,Update Required,Bulk Update,Published,2026-02-24 16:15:25
200-140-012,Update Required,Bulk Update,Published,2026-02-24 16:15:39
200-140-004,Update Required,Bulk Update,Published,2026-02-24 16:15:53
200-140-005,Update Required,Bulk Update,Published,2026-02-24 16:16:07
