sku,Item Name,item-name-suggested,sales_description,brand,manufacturer,shopify_collection,variant_1_name,variant_1_value,variant_2_name,variant_2_value,variant_3_name,variant_3_value,package_length,package_width,package_height,package_weight,dimension_unit,enrichment_comments
360-110-005,SHARP COLLECT PHLEBOT 1QT. RED,SHARP COLLECT PHLEBOT 1QT - Red,"1-Quart Red Sharps Container designed for safe disposal of needles, scalpel blades, and other sharp medical instruments. Leak-resistant and puncture-proof construction meets safety standards for biohazard disposal.

Capacity: 1 Quart
Color: Red
Safety: Puncture Resistant",Sharps Collect,Generic,SHARP COLLECT PHLEBOT 1QT,Color,Red,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-130-005,SOAPLETS PUMP BOTTLES,,"Refillable pump bottles designed for efficient dispensing of liquid soaps and lotions in the clinical environment. Promotes hand hygiene compliance with an easy-to-use mechanism.

Type: Pump Bottle
Application: Hand Hygiene",Soaplets,Generic,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-130-008,SURFLETS BOTTLE,,"Durable dispensing bottle for surface disinfectant solutions. Features a chemical-resistant construction suitable for daily use with various clinical cleaning agents.

Type: Dispenser Bottle
Application: Surface Disinfection",Surflets,Generic,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-130-001,CLASSIC AUTOCLAV SURGEON BRUSH,,"Classic autoclavable surgeons brush designed for effective preoperative scrubbing of hands and nails. Durable bristles effectively remove debris while being gentle on skin. Fully autoclavable for sterilization reuse.

Type: Scrub Brush
Feature: Autoclavable
Bristles: Nylon/Polypropylene",Classic,Dental Sky,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-120-007,UNODENT DISINFECTANT HAND GEL-,UNODENT DISINFECTANT HAND GEL,"UnoDent alcohol-based hand disinfectant gel for rapid hand antisepsis. Effective against a wide range of bacteria and viruses, drying quickly without sticky residue to facilitate frequent use in busy clinics.

Type: Hand Sanitizer
Form: Gel
Use: Hand Disinfection",UnoDent,UnoDent,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-120-003,HAND SANITIZERS,,"Professional grade hand sanitizer formulated for healthcare settings. Kills 99.9% of common pathogens to prevent cross-contamination between patient appointments.

Type: Hand Sanitizer
Application: Infection Control",Generic,Generic,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-130-010,WATERBATH DIAL THERMOMETER,,"Precision dial thermometer designed for monitoring water bath temperatures in dental laboratories. Ensures accurate temperature maintenance for material processing and hygiene routines.

Type: Analog Thermometer
Use: Lab/Clinical Equipment",Generic,Generic,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-130-009,TRIGGER SPRAY 500ML/1LT BOTTLE,TRIGGER SPRAY /1LT BOTTLE - 500ml,"Heavy-duty trigger spray bottle for dispensing cleaning and disinfection solutions. Adjustable nozzle control and chemical-resistant materials make it ideal for operatory surface cleaning.

Capacity: 500ml - 1L Compatible
Mechanism: Trigger Spray",Generic,Generic,TRIGGER SPRAY /1LT BOTTLE,Volume,500ml,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-130-006,LONG HANDLED SCRUBBING BRUSH,,"Long-handled scrubbing brush designed for cleaning autoclave chambers, tanks, and hard-to-reach instrumental crevices. Durable bristles ensure effective removal of stubborn debris.

Type: Cleaning Brush
Handle: Extended Reach",Generic,Generic,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-120-001,DENTEK COMFORT CLEAN BACK,,"Specialized dental cleaning tool designed for effective plaque removal in hard-to-reach posterior areas. Promotes patient oral hygiene and gum health.

Type: Oral Hygiene Aid
Target: Posterior Teeth",DenTek,DenTek,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-130-002,CUP JUNIOR SCREW NYLON BRUSH (50PK) (STODDARD),CUP SCREW NYLON BRUSH (50PK) (STODDARD) - Junior,"Stoddard Junior Cup Nylon Brushes with screw shank. Designed for polishing and prophylaxis procedures. High-quality nylon bristles ensure effective stain removal and polishing of enamel and restorations.

Quantity: 50 Pack
Connection: Screw Type
Use: Prophylaxis Polishing",Stoddard,Stoddard,CUP SCREW NYLON BRUSH (50PK) (STODDARD),Size,Junior,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-120-009,VIVID MIRRORBRITE 1QT. (32 oz) BOTTLE,VIVID MIRRORBRITE 1QT.  BOTTLE - 32oz,"Vivid MirrorBrite cleaning solution formulated to keep dental mirrors and optical surfaces clear and fog-free. Removes debris and smudges ensuring optimal visibility during exams.

Volume: 32 oz (1 Quart)
Use: Mirror/Optical Cleaning",Pearson Dental,Pearson Dental,VIVID MIRRORBRITE 1QT.  BOTTLE,Volume,32oz,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-120-004,ISO-PROPHYL ALCOHOL,,"High-purity Isopropyl Alcohol solution for general surface cleaning and instrument disinfection. An essential solvent and cleaner for daily laboratory and clinical tasks.

Composition: Isopropyl Alcohol
use: Disinfection / Cleaning Solvent",Molychem India Llp,Molychem India Llp,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-120-002,ALPROJET DD CONCENTRATE,,"Alprojet DD is a highly effective, non-foaming liquid concentrate for the daily disinfection and cleaning of dental aspiration systems and spittoons. Aldehyde and phenol-free formula dissolves biofilm and prevents clogging.

Type: Aspiration System Cleaner
Dilution: Concentrate
Features: Non-foaming, Biofilm Removal",Alpro,Alpro,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
