sku,Item Name,item-name-suggested,sales_description,brand,manufacturer,shopify_collection,variant_1_name,variant_1_value,variant_2_name,variant_2_value,variant_3_name,variant_3_value,package_length,package_width,package_height,package_weight,dimension_unit,enrichment_comments
120-120-010,DSA MHS TOP & PANT FEMALE (M),DSA MHS TOP & PANT FEMALE - Medium,"Professional Clinical Scrub Set (Female). Tailored fit V-neck top and matching pants. Durable fabric designed for hygiene and comfort in the dental operatory.

Set: Top & Pant
Gender: Female
Use: Clinical Uniform",Generic,Dsa,DSA MHS TOP & PANT FEMALE,Size,Medium,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-009,DSA MHS TOP & PANT FEMALE (L),DSA MHS TOP & PANT FEMALE - Large,"Professional Clinical Scrub Set (Female). Tailored fit V-neck top and matching pants. Durable fabric designed for hygiene and comfort in the dental operatory.

Set: Top & Pant
Gender: Female
Use: Clinical Uniform",Generic,Dsa,DSA MHS TOP & PANT FEMALE,Size,Large,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-015,DSA MHS TROUSER- GREY (S),DSA MHS TROUSER- - Small / Grey,"Professional Clinical Scrub Trousers. Comfortable fit with elastic/drawstring waist. Durable, easy-care fabric suitable for daily clinical wear.

Type: Scrub Pant
Color: Grey
Gender: Unisex/Male",Generic,Dsa,DSA MHS TROUSER-,Size,Small,Color,Grey,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-014,DSA MHS TROUSER- GREY (M),DSA MHS TROUSER- - Medium / Grey,"Professional Clinical Scrub Trousers. Comfortable fit with elastic/drawstring waist. Durable, easy-care fabric suitable for daily clinical wear.

Type: Scrub Pant
Color: Grey
Gender: Unisex/Male",Generic,Dsa,DSA MHS TROUSER-,Size,Medium,Color,Grey,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-004,ANKARA FLOWERY PATTERN TOP (S),ANKARA FLOWERY PATTERN TOP - Small,"Ankara Print Scrub Top. Features a vibrant floral African wax print pattern. V-neck design with front pockets, combining cultural style with professional utility.

Style: Ankara Print
Pattern: Flowery
Use: Clinical/Aesthetic",Generic,Generic,ANKARA FLOWERY PATTERN TOP,Size,Small,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-002,ANKARA FLOWERY PATTERN TOP (M),ANKARA FLOWERY PATTERN TOP - Medium,"Ankara Print Scrub Top. Features a vibrant floral African wax print pattern. V-neck design with front pockets, combining cultural style with professional utility.

Style: Ankara Print
Pattern: Flowery
Use: Clinical/Aesthetic",Generic,Generic,ANKARA FLOWERY PATTERN TOP,Size,Medium,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-020,FLOWERY ANKARA MALE TOP(M),FLOWERY ANKARA MALE TOP - Medium,"Men's Ankara Print Scrub Top. Vibrant African wax print design with a masculine V-neck cut. Durable fabric with pockets for clinical essentials.

Style: Ankara Print
Gender: Male
Pattern: Flowery",Generic,Generic,FLOWERY ANKARA MALE TOP,Size,Medium,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-019,FEMALE FRONT & PANT DESK (S),FEMALE FRONT & PANT DESK - Small,High-quality Dental Supply item for professional clinical use. Manufactured to meet strict dental industry standards.,,,FEMALE FRONT & PANT DESK,Size,Small,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-026,UA SCRUB 61 TOP-M-WINE,UA SCRUB 61 TOP - Medium / Wine,"UA Scrubs Classic V-Neck Top (Style 61). A customer favorite offering a comfortable fit and durable polyester/cotton blend. Features roomy pockets and side vents.

Brand: Uniform Advantage
Style: UA 61 Classic
Color: Wine",Uniform Advantage,Uniform Advantage,UA SCRUB 61 TOP,Size,Medium,Color,Wine,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-027,UA WOMEN'S SNAP FRN TOP-S-WINE,UA WOMENS SNAP FRN TOP - Small / Wine,"UA Scrubs Women's Snap Front Top. Easy on/off snap closure with a comfortable V-neckline. Practical pockets and durable fabric for daily shifts.

Brand: Uniform Advantage
Style: Snap Front Top
Color: Wine",Uniform Advantage,Uniform Advantage,UA WOMENS SNAP FRN TOP,Size,Small,Color,Wine,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-006,CHEROKEE 4876 TOP -2X-GAL BLUE,CHEROKEE 4876 TOP - 2X-Large / Galaxy Blue,"Cherokee Workwear Originals Unisex V-Neck Top (Style 4876). Spacious fit with chest and patch pockets. Soil-release fabric ensures a professional look shift after shift.

Style: Workwear Originals (4876)
Gender: Unisex
Color: Galaxy Blue",Cherokee,Cherokee Uniforms,CHEROKEE 4876 TOP,Size,2X-Large,Color,Galaxy Blue,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-025,UA 2PKT MOCK WRAP TOP-M-JANAV,UA 2PKT MOCK WRAP TOP - Medium / Jane Navy,"UA Scrubs 2-Pocket Mock Wrap Top. Flattering mock wrap silhouette with adjustable back ties for a custom fit. Two roomy front pockets for storage.

Brand: Uniform Advantage
Style: Mock Wrap
Color: Jane Navy (Janav)",Uniform Advantage,Uniform Advantage,UA 2PKT MOCK WRAP TOP,Size,Medium,Color,Jane Navy,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-024,UA 2PKT MOCK WRAP TOP-L-JANAV,UA 2PKT MOCK WRAP TOP - Large / Jane Navy,"UA Scrubs 2-Pocket Mock Wrap Top. Flattering mock wrap silhouette with adjustable back ties for a custom fit. Two roomy front pockets for storage.

Brand: Uniform Advantage
Style: Mock Wrap
Color: Jane Navy (Janav)",Uniform Advantage,Uniform Advantage,UA 2PKT MOCK WRAP TOP,Size,Large,Color,Jane Navy,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-031,BUTTERSOFT PC62C -XL-ELPIN,BUTTERSOFT PC62C - Extra Large / Electric Pink,"Butter-Soft Core by UA Mock Wrap Top (PC62C). Known for superior softness and comfort. Features a mock wrap design, front pockets, and fade-resistant fabric.

Collection: Butter-Soft Core
Style: Mock Wrap (PC62C)
Color: Electric Pink",Butter-Soft,Uniform Advantage,BUTTERSOFT PC62C,Size,Extra Large,Color,Electric Pink,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-021,MEN'S 5 PKT V-NECK TOP-M-GRANI,MENS 5 PKT V-NECK TOP - Medium / Granite,"Men's 5-Pocket V-Neck Scrub Top. Designed for maximum utility with five pockets including chest and cargo pockets. Durable fabric construction for the active professional.

Gender: Men's
Features: 5 Pockets, V-Neck
Color: Granite",Generic,Generic,MENS 5 PKT V-NECK TOP,Size,Medium,Color,Granite,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-032,BUTTERSOFT PC62C TOP-M-WINE,BUTTERSOFT PC62C TOP - Medium / Wine,"Butter-Soft Core by UA Mock Wrap Top (PC62C). Known for superior softness and comfort. Features a mock wrap design, front pockets, and fade-resistant fabric.

Collection: Butter-Soft Core
Style: Mock Wrap (PC62C)
Color: Wine",Butter-Soft,Uniform Advantage,BUTTERSOFT PC62C TOP,Size,Medium,Color,Wine,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-018,ELASTIC WAIST PANT-M-JADE,ELASTIC WAIST PANT - Medium / Jade,"Classic Elastic Waist Scrub Pant. Features a comfortable full elastic waistband and spacious leg fit. Durable poplin fabric for everyday wear.

Style: Elastic Waist
Color: Jade
Use: Clinical Uniform",Generic,Generic,ELASTIC WAIST PANT,Size,Medium,Color,Jade,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-017,ELASTIC WAIST PANT-L-JADE,ELASTIC WAIST PANT - Large / Jade,"Classic Elastic Waist Scrub Pant. Features a comfortable full elastic waistband and spacious leg fit. Durable poplin fabric for everyday wear.

Style: Elastic Waist
Color: Jade
Use: Clinical Uniform",Generic,Generic,ELASTIC WAIST PANT,Size,Large,Color,Jade,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-030,UNISEX ONE POCKET TOP-M-JADE,UNISEX 1 POCKET TOP - Medium / Jade,"Unisex One-Pocket Reversible Scrub Top. A versatile basic with a single chest pocket and V-neck. Reversible design for easy laundry management.

Gender: Unisex
Style: 1-Pocket Reversible
Color: Jade",Generic,Generic,UNISEX 1 POCKET TOP,Size,Medium,Color,Jade,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-028,UNISEX 3 POCKET PANTS-M-JADE,UNISEX 3 POCKET PANTS - Medium / Jade,"Unisex 3-Pocket Scrub Pant. Features a drawstring waist and one back pocket plus two side pockets. Comfortable relaxed fit for all body types.

Gender: Unisex
Style: Drawstring / 3-Pocket
Color: Jade",Generic,Generic,UNISEX 3 POCKET PANTS,Size,Medium,Color,Jade,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-003,CHEROKEE 4876 - 2X - PEWTE,CHEROKEE 4876 - 2X-Large / Pewter,"Cherokee Workwear Originals Unisex V-Neck Top (Style 4876). Dependable and durable with soil-release finish. Generous cut for comfort.

Style: Workwear Originals (4876)
Gender: Unisex
Color: Pewter",Cherokee,Cherokee Uniforms,CHEROKEE 4876,Size,2X-Large,Color,Pewter,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-130-003,WOMEN SLIP ON CLOGS BLACK SIZE 12,WOMEN SLIP ON CLOGS - 12 / Black,"Women's Clinical Slip-On Clog. Lightweight and durable with a slip-resistant sole. Easy-to-clean material ideal for maintaining hygiene in the dental office.

Type: Clinical Clog
Color: Black
Size: 12",Generic,Generic,WOMEN SLIP ON CLOGS,Size,12,Color,Black,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-130-002,WOMEN SLIP ON CLOGS BLACK SIZE 9,WOMEN SLIP ON CLOGS - 9 / Black,"Women's Clinical Slip-On Clog. Lightweight and durable with a slip-resistant sole. Easy-to-clean material ideal for maintaining hygiene in the dental office.

Type: Clinical Clog
Color: Black
Size: 9",Generic,Generic,WOMEN SLIP ON CLOGS,Size,9,Color,Black,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-130-001,WOMEN SLIP ON CLOGS BLACK SIZE 8,WOMEN SLIP ON CLOGS - 8 / Black,"Women's Clinical Slip-On Clog. Lightweight and durable with a slip-resistant sole. Easy-to-clean material ideal for maintaining hygiene in the dental office.

Type: Clinical Clog
Color: Black
Size: 8",Generic,Generic,WOMEN SLIP ON CLOGS,Size,8,Color,Black,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-008,DICKIES JR.EDS SIGN TOP-M WINE,DICKIES JR.EDS SIGN TOP - Medium / Wine,"Dickies EDS Signature Junior Fit V-Neck Top. Soft brushed cotton blend fabric with a flattering junior fit. Features decorative topstitching and multiple patch pockets.

Collection: EDS Signature
Fit: Junior
Color: Wine",Dickies,Dickies Medical,DICKIES JR.EDS SIGN TOP,Size,Medium,Color,Wine,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
